will	2676
great	2058
trump	1648
new	1186
obama	1071
thank	920
people	915
time	799
now	761
make	716
job	630
america	609
big	595
one	592
donald	578
barackobama	529
think	521
never	505
us	499
going	494
year	494
president	489
hillary	489
via	487
cont	487
country	480
many	480
last	480
good	457
want	453
tonight	453
show	445
today	435
interview	425
back	421
must	421
poll	419
night	405
really	402
see	392
much	389
bad	386
china	379
day	378
obamacare	372
win	370
american	367
know	360
go	360
watch	349
deal	345
best	340
work	339
world	325
said	325
clinton	320
look	320
record	320
amazing	317
even	316
state	313
say	310
golf	305
need	301
way	300
debate	294
take	291
republican	288
right	282
vote	281
tomorrow	273
money	272
national	266
makeamericagreatagain	263
keep	262
made	260
million	258
thing	254
better	252
discussing	246
live	245
love	243
always	242
mittromney	242
total	234
another	234
friend	233
business	233
got	233
stop	231
first	230
course	226
enjoy	226
cnn	224
entrepreneur	224
let	221
star	221
give	221
forward	221
well	219
believe	218
nice	214
success	213
crooked	213
rating	211
foxnews	211
iowa	210
come	210
speech	208
crowd	207
ever	207
campaign	206
problem	203
guy	203
looking	203
apprentice	203
media	200
morning	199
election	198
foxandfriends	197
nothing	197
hotel	192
congratulation	191
run	191
leader	189
gop	188
nbc	188
two	187
remember	186
everyone	186
york	184
soon	183
support	183
yesterday	183
real	182
lot	182
re	181
totally	181
wonderful	179
top	179
every	179
hard	178
miss	177
iran	177
talk	176
trump2016	175
number	175
next	174
smart	174
join	174
terrible	174
fantastic	173
book	172
won	171
border	171
cruz	170
celebapprentice	169
week	168
don	167
done	166
tough	165
wow	165
attack	165
making	164
place	161
tower	160
long	160
washington	159
sad	158
getting	157
put	155
season	154
party	153
apprenticenbc	152
far	151
celebrity	151
change	151
happy	150
also	149
scotland	148
lost	147
hit	147
interviewed	146
pm	146
hope	145
disaster	144
office	144
sure	143
major	143
florida	143
government	142
house	142
carolina	140
word	140
barackobama's	140
open	139
read	139
bush	138
plan	138
illegal	137
john	137
economy	137
tax	137
ad	136
use	136
debt	135
true	135
oil	135
fox	134
failing	134
loser	134
high	132
called	132
dollar	132
bill	132
story	132
focus	131
start	130
strong	130
still	129
continue	128
wrong	127
beautiful	127
isis	127
together	127
club	127
iraq	127
fast	127
bring	126
pay	126
leadership	125
winning	125
game	125
others	125
ted	124
hampshire	124
call	123
life	122
lead	122
massive	121
lie	121
care	119
price	119
failed	117
sunday	117
wind	116
spending	116
obama'	116
city	114
video	114
event	114
thought	114
watching	114
global	113
may	113
yet	113
stupid	113
away	113
ohio	112
order	112
candidate	112
south	112
fight	112
offer	111
told	111
statement	111
special	111
fact	110
worst	110
winner	109
doral	109
jeb	107
honor	107
talking	107
something	107
proud	107
point	106
billion	106
family	106
report	106
saying	105
working	105
democrat	105
build	105
person	104
post	104
press	104
dishonest	104
old	103
united	103
without	103
taxes	102
help	102
meeting	102
art	102
immigration	101
trade	101
military	100
result	100
important	100
coming	100
gave	100
energy	100
security	99
history	99
stay	99
man	99
question	98
play	98
political	98
everything	97
check	97
award	96
end	96
warming	96
ago	95
law	95
convention	95
wall	95
team	94
presidential	94
truly	94
north	94
mexico	94
wonder	94
cut	94
rubio	94
worse	94
nytimes	93
name	93
view	93
learn	92
mistake	92
happen	92
tune	91
beat	91
weak	90
home	90
trying	89
hear	89
building	89
rally	89
nation	88
congrat	88
international	88
interesting	88
little	88
already	88
move	88
used	87
russia	86
left	86
anyone	86
fun	86
white	86
lightweight	86
yankee	86
successful	85
article	85
victory	85
else	85
tremendous	85
romney	85
badly	85
women	85
public	84
politician	84
spent	84
senator	84
interest	83
ready	83
find	83
decision	83
dumb	83
cost	82
low	82
control	82
ebola	82
released	82
power	81
become	81
voter	81
failure	81
free	81
charity	80
monday	80
respect	79
nyc	79
supporter	79
greatest	79
ny	79
congress	78
budget	78
waste	78
war	78
macy	78
immediately	78
general	78
buy	78
anything	77
less	77
hell	77
return	77
room	77
miami	77
champion	76
thinking	76
bernie	76
small	75
turbine	75
terrorist	75
website	75
speak	75
mitt	75
zero	75
hour	75
episode	74
syria	74
taking	74
gretawire	74
tell	74
killing	74
talent	74
biggest	74
pre	74
today's	73
minute	73
race	73
mind	73
magazine	73
boring	73
lose	73
release	72
went	72
part	72
gas	72
around	71
past	71
set	71
trumpvlog	71
evening	71
month	71
weekend	71
economic	71
running	71
saturday	71
case	71
pennsylvania	71
face	70
trump'	70
negotiation	70
fired	70
enough	70
unemployment	70
oreillyfactor	70
given	69
nuclear	69
israel	69
terrific	69
speaking	69
foreign	69
ivankatrump	69
trumpdoral	69
increase	68
full	68
fan	68
since	68
governor	68
marco	68
ask	68
create	68
politics	68
gets	68
allowed	67
action	67
line	67
safe	67
tuesday	67
primary	67
la	67
almost	67
rod	67
usa	67
reporter	66
player	66
chance	66
market	66
television	66
squawkcnbc	66
giving	66
tweet	66
term	66
chinese	66
trump2016thank	66
losing	65
future	65
agree	65
tv	65
pageant	65
idea	65
seanhannity	65
growth	65
george	64
send	64
close	64
twitter	64
mess	64
conference	64
credit	63
